"Akhtar, Syed Sohail",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/59/output-onlinejpgtools%20(28).jpg
Albinmousa Jafar,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/41/output-onlinejpgtools%20(30).jpg
Ali Hafiz Muhammad ,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/83/Ali1111.jpg
"Al-Qahtani, Hussain",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/35/output-onlinejpgtools%20(32).jpg
"Bahaidarah, Haitham",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/18/output-onlinejpgtools%20(33).jpg
"Ben-Mansour, Rached",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/19/output-onlinejpgtools%20(34).jpg
"Hassan, Syed Fida",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/56/output-onlinejpgtools%20(35).jpg
"Leseman, Zayd",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/84/output-onlinejpgtools%20(37).jpg
"Mezghani, Khaled",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/57/output-onlinejpgtools%20(38).jpg
"Toor, Ihsanul Haq",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/64/output-onlinejpgtools%20(39).jpg
Zuhair Mattoug Gasem,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/1/output-onlinejpgtools%20(10).jpg
Abduljabar Alsayoud,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/77/output-onlinejpgtools%20(40).jpg
Abdullah Al-Sharafi,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/81/output-onlinejpgtools%20(41).jpg
"Abu-Dheir, Numan",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/61/output-onlinejpgtools%20(42).jpg
"Al-Badour, Fadi​",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/40/output-onlinejpgtools%20(43).jpg
"Al-Mangour, Bandar A. Saad",http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/92/Bandar%20AlMangour%20image%20(Saudi).jpg
Almerbati Abdulrahman ,http://www.kfupm.edu.sa/departments/me/Lists/Faculties/Attachments/82/output-onlinejpgtools%20(44).jpg
